,transactionDate,time
0,2015.924885844749,2017.1940639269408
1,2015.924885844749,2017.1940639269408
2,2015.7461187214612,2017.5082191780823
3,2015.0191780821917,2017.4166666666667
4,2016.3990867579907,2017.602511415525
5,2014.6408675799087,2017.3333333333333
6,2015.0794520547945,2017.5739726027398
7,2016.9933789954339,2018.2296803652969
8,2013.4522831050228,2014.3130136986301
9,2014.0575342465754,2016.8333333333333
10,2014.4796803652969,2016.5465753424658
11,2015.9045662100457,2017.25
12,2015.924885844749,2017.3333333333333
13,2013.6189497716894,2017.3333333333333
14,2015.924885844749,2016.8184931506848
15,2016.9906392694065,2018.2187214611872
16,2014.844292237443,2015.7406392694065
17,2014.844292237443,2016.2965753424658
18,2015.7746575342467,2017.0301369863014
19,2015.7746575342467,2017.10799086758
20,2015.2132420091325,2016.1326484018264
21,2015.2132420091325,2016.1940639269408
22,2015.2132420091325,2016.535616438356
23,2015.2132420091325,2016.629908675799
24,2015.2132420091325,2016.7351598173516
25,2015.2132420091325,2017.0602739726028
26,2014.3102739726028,2016.3267123287671
27,2015.285616438356,2016.25
28,2014.5054794520547,2015.9468036529681
29,2015.6831050228311,2016.594292237443
30,2014.6216894977167,2016.8020547945205
31,2015.2378995433792,2016.8157534246575
32,2015.1803652968038,2016.8020547945205
33,2015.2378995433792,2015.9550228310502
34,2015.7433789954339,2016.6995433789955
35,2013.907305936073,2015.6803652968038
36,2015.5602739726028,2017.629908675799
37,2016.174885844749,2017.352511415525
38,2015.8634703196346,2016.8881278538813
39,2015.1803652968038,2016.3771689497717
40,2016.9906392694065,2017.8294520547945
41,2015.7433789954339,2016.7801369863014
42,2013.907305936073,2014.9166666666667
43,2013.8321917808219,2017.5630136986301
44,2015.352511415525,2017.4303652968038
45,2014.5630136986301,2017.5630136986301
46,2015.6831050228311,2018.1408675799087
47,2013.2242009132422,2016.7993150684931
48,2012.527397260274,2014.3184931506848
49,2015.7242009132422,2018.0794520547945
50,2016.0712328767124,2018.263698630137
51,2013.4155251141551,2014.9045662100457
52,2016.0915525114156,2016.9687214611872
53,2012.8184931506848,2015.4961187214612
54,2015.094292237443,2018.143607305936
55,2014.6189497716894,2016.9933789954339
56,2012.6995433789955,2014.277397260274
57,2015.7993150684931,2017.1189497716894
58,2016.3990867579907,2017.2050228310502
59,2016.3990867579907,2017.771917808219
60,2013.0191780821917,2014.25
61,2014.2378995433792,2015.3415525114156
62,2016.174885844749,2018.174885844749
63,2016.174885844749,2016.9714611872148
64,2016.7433789954339,2017.85799086758
65,2016.0915525114156,2017.1408675799087
66,2014.8075342465754,2016.8020547945205
67,2014.3102739726028,2016.674885844749
68,2014.6463470319634,2016.669406392694
69,2014.6463470319634,2016.669406392694
70,2016.2488584474886,2018.2378995433792
71,2015.924885844749,2017.2022831050228
72,2014.6189497716894,2017.3333333333333
73,2015.4413242009134,2017.3333333333333
74,2017.0109589041097,2018.3470319634703
75,2011.9495433789955,2013.4878995433792
76,2012.4878995433792,2015.6107305936073
77,2013.4276255707764,2015.5712328767124
78,2015.1134703196346,2015.8470319634703
79,2015.7132420091325,2018.143607305936
80,2014.4440639269408,2015.7214611872148
81,2016.4155251141551,2017.1545662100457
82,2015.1107305936073,2017.5712328767124
83,2015.2461187214612,2015.9468036529681
